"","ID","AIC_quadratic","BIC_quadratic","AIC_logistic","BIC_logistic","r_max","K","N_0"
"50",50,-55.4383941332066,-52.6061933287978,1.73088197633032,4.56308278073916,0.00906703594379382,-3776130.58313868,0.205644811013283
"51",51,-60.2047925002637,-57.9449950704175,-25.2652497354133,-23.0054523055672,0.0061521717181062,-360205.16755563,0.0809800321800194
"52",52,-43.7547447127267,-41.8151181135747,-21.4927658382118,-19.5531392390598,0.00910203196074614,-3658482.31654849,0.101132351297831
"53",53,-48.440083876589,-46.1802864467428,-29.3558416600136,-27.0960442301675,0.00236397548072135,-71230.0863970059,0.094293064696194
"54",54,-35.1887215370689,-32.6324922186078,-17.9311058052937,-15.3748764868326,0.0037570339797262,-190567.233065844,0.0973634807657035
"55",55,-60.1658653135835,-57.6096359951225,-29.2259454080721,-26.6697160896111,0.00564075518073502,-272411.03706306,0.095957352969604
"56",56,-62.6513662366963,-59.5610113477372,-14.1729628896591,-11.0826080006999,0.0114221893407868,-4734521.91337311,0.12899715701794
"57",57,5.99133000947002,9.08168489842915,12.0213327996731,15.1116876886322,0.00466827948002483,-2317784.03288975,0.544238393360741
"58",58,-15.2482107311525,-12.1578558421934,8.90569486665948,11.9960497556186,0.00648578299483578,-3139721.2338914,0.262607615726915
"59",59,-33.835442193736,-30.5025888175111,-2.61999186662615,0.712861509598717,0.0136319315893622,1218548735.29971,0.0979721511960757
"60",60,-16.5188796386986,-13.4285247497395,3.59961817183758,6.6899730607967,0.00698058160532073,-3448548.69025306,0.191872769552681
"61",61,-14.354606707968,-11.5224059035592,6.23210354932186,9.0643043537307,0.00786069780287942,-1866301.64512776,0.276492842113065
"62",62,-71.9977469999145,-69.4415176814535,-46.0598528854498,-43.5036235669888,0.00414115698240069,-131252.882214581,0.0624270910916547
"63",63,-51.9049038674354,-49.6451064375892,-26.9809969602057,-24.7211995303596,0.00909296350661594,-1464707.26813676,0.070609557677801
"64",64,1.54534731887699,4.63570220783611,9.06875202164655,12.1591069106057,0.00502292093398899,-2204250.89807744,0.472802720349359
"65",65,-102.133142583116,-99.3009417787068,-39.4971574656234,-36.6649566612146,0.0134364060141364,-26332609.5979756,0.0528632407212583
"66",66,-62.3583686316444,-59.2680137426852,-6.65233723739347,-3.56198234843435,0.00814843350173104,-1641004.64080457,0.145898846173393
"67",67,-67.6537553248196,-65.0975260063585,-27.794246706433,-25.2380173879719,0.00970343219683386,-3616046.64442328,0.0933856866080967
"68",68,5.10621051313655,8.19656540209567,11.1186671251772,14.2090220141364,0.00515479206140191,-3036156.83244601,0.535104619676445
"69",69,-12.7215161289938,-9.63116124003467,6.01941480879216,9.10976969775128,0.00604866070371294,-20176039.9388963,0.227991250601564
"70",70,-1.30598592241989,1.25024339604114,6.97702017512978,9.53324949359081,0.00246516122777937,-2646973.72628745,0.271794999531588
"71",71,-73.0451060559709,-70.212905251562,-32.2315113443715,-29.3993105399627,0.0101850085178284,-8340807467075.7,0.0744876611271837
"72",72,-25.0756597661417,-21.7428063899169,0.891465382833459,4.22431875905832,0.00933253940624169,-3028849.8264671,0.243069024199495
"73",73,-78.5215795365491,-75.1887261603242,-48.8356350479307,-45.5027816717059,0.00826090513281283,-2690007.19700669,0.0668193569222353
"74",74,-42.5512280415218,-39.7190272371129,-28.9907813947077,-26.1585805902988,0.00425719034482733,-338247.835538997,0.123571205951602
